base_prompt,target_true,domain,similarity,target_new,prediction
"Toyota AZ engine, developed by",Toyota,Autos_and_Vehicles,0.65073884,Volvo,Volvo
Windows Server 2000 is created by,Microsoft,Computers_and_Electronics,0.3999961,Dodge,Microsoft
"Apple Pro Mouse, a product manufactured by",Apple,Computers_and_Electronics,0.5728868,Sega,Sega
"Apple Thunderbolt Display, a product created by",Apple,Computers_and_Electronics,0.42416984,Atari,Atari
Google Play is a product of,Google,Internet_and_Telecom,0.3911891,Microsoft,Microsoft
Boeing 777 is produced by,Boeing,Business_and_Industrial,0.6257661,Nissan,Nissan
"Honda NSR75, produced by",Honda,Autos_and_Vehicles,0.6606531,Nissan,Nissan
Honda G engine is developed by,Honda,Autos_and_Vehicles,0.54119104,Dodge,Dodge
"Game Boy Micro, developed by",Nintendo,Games,0.482294,Fiat,Fiat
Google Workspace was created by,Google,Computers_and_Electronics,0.2964251,Sega,Sega
Renault 4 is developed by,Renault,Autos_and_Vehicles,0.65049267,Yamaha,Yamaha
"IBM Lotus Web Content Management, a product developed by",IBM,Computers_and_Electronics,0.5799229,Yahoo,Yahoo
"Nintendo GameCube, produced by",Nintendo,Computers_and_Electronics,0.6261313,Fiat,Fiat
Saxony-Anhalt is located in the country of,Germany,Business_and_Industrial,0.4177684,Serbia,Serbia
Mount Fuji is located in the country of,Japan,Travel_and_Transportation,0.41417235,Greece,Greece
The official language of Kingdom of Croatia-Slavonia is,Croatian,Law_and_Government,0.5712298,German,Croatian
"Ajay Devgn, who has a citizenship from",India,Arts_and_Entertainment,0.2260581,Japan,Japan
Nexus One is developed by,Google,Computers_and_Electronics,0.24356712,Amazon,Amazon
Surface Book is produced by,Microsoft,Computers_and_Electronics,0.32077298,Sega,Sega
"Toyota NZ engine, produced by",Toyota,Autos_and_Vehicles,0.5989671,Dodge,Dodge
"Fiat 8 HP, created by",Fiat,Autos_and_Vehicles,0.6639277,Toyota,Toyota
Miyagi Prefecture is located in the country of,Japan,Jobs_and_Education,0.41164243,Chile,Chile
Boeing 787 Dreamliner is created by,Boeing,Autos_and_Vehicles,0.52565044,Adobe,Adobe
"Toyota AD engine, produced by",Toyota,Autos_and_Vehicles,0.6013999,Chevrolet,Chevrolet
Canada is located in the country of,Canada,Jobs_and_Education,0.6409507,Australia,Australia
Windows NT was developed by,Microsoft,Computers_and_Electronics,0.55580056,Google,Microsoft
National Historic Sites of Canada ID is located in the country of,Canada,Travel_and_Transportation,0.3900982,Kuwait,Kuwait
Cloud SDK is owned by,Google,Computers_and_Electronics,0.17253251,Indonesia,Indonesia
"iPhone 12, produced by",Apple,Computers_and_Electronics,0.54149336,Nintendo,Nintendo
"Sergey Sokolov, who holds a citizenship from",Russia,Law_and_Government,0.34636962,Japan,Japan
Adobe Photoshop Lightroom is created by,Adobe,Computers_and_Electronics,0.54441965,Sega,Sega
BMW M5 is produced by,BMW,Autos_and_Vehicles,0.64611757,Renault,Renault
"Mathilde Kralik, playing the",piano,Arts_and_Entertainment,0.384601,violin,violin
"Honda NS500, produced by",Honda,Autos_and_Vehicles,0.6940733,Airbus,Airbus
"Adobe After Effects, a product developed by",Adobe,Computers_and_Electronics,0.75540894,Microsoft,Microsoft
Kevin Durant is a professional,basketball,Sports,0.31754705,baseball,basketball
Google Play is created by,Google,Internet_and_Telecom,0.3039533,Apple,Google
North Rhine-Westphalia is located in the country of,Germany,Business_and_Industrial,0.4678107,Iran,Iran
"Nokia X2-02, created by",Nokia,Computers_and_Electronics,0.71798384,Toyota,Toyota
Koji Murofushi has a citizenship from,Japan,Law_and_Government,0.32055962,Brazil,Brazil
"Renault 12, developed by",Renault,Autos_and_Vehicles,0.7559737,Airbus,Airbus
Volvo 200 Series is produced by,Volvo,Autos_and_Vehicles,0.6933875,Toyota,Toyota
IBM 6150 RT is produced by,IBM,Computers_and_Electronics,0.5840028,Renault,Renault
"BMW N53, developed by",BMW,Autos_and_Vehicles,0.6556473,Sony,Sony
"Toyota Harrier, produced by",Toyota,Autos_and_Vehicles,0.6700683,Porsche,Porsche
Hisashi Inoue has a citizenship from,Japan,Law_and_Government,0.3344101,India,India
The Protector premieres on,Netflix,Arts_and_Entertainment,0.28371745,NBC,NBC
"Fiat Panorama, produced by",Fiat,Autos_and_Vehicles,0.6555489,Sony,Sony
"Renault Laguna, produced by",Renault,Autos_and_Vehicles,0.70960414,Toyota,Toyota
NBC Nightly News was originally aired on,NBC,News,0.5745731,BBC,BBC
iPhone XS Max is developed by,Apple,Computers_and_Electronics,0.38848913,Porsche,Porsche
"Spanish Empire's capital city,",Madrid,People_and_Society,0.39373538,Delhi,Delhi
"Community of Madrid's capital city,",Madrid,Law_and_Government,0.69091576,Valencia,Valencia
"Ferrari F40, developed by",Ferrari,Autos_and_Vehicles,0.69616616,Honda,Honda
Dodge 330 is produced by,Dodge,Autos_and_Vehicles,0.61321354,Apple,Apple
Toyota AZ engine is developed by,Toyota,Autos_and_Vehicles,0.60252357,Samsung,Samsung
"Nokia 6610, developed by",Nokia,Computers_and_Electronics,0.7506062,Chevrolet,Chevrolet
Porsche 956 is developed by,Porsche,Autos_and_Vehicles,0.63854945,Douglas,Douglas
"Windows Me, a product manufactured by",Microsoft,Computers_and_Electronics,0.5821285,IBM,IBM
"Google Workspace, created by",Google,Computers_and_Electronics,0.29947418,Samsung,Samsung
"Samsung Gear S3, created by",Samsung,Computers_and_Electronics,0.57822084,Sega,Sega
Université de Montréal is headquartered in,Montreal,Jobs_and_Education,0.61195004,Hamburg,Hamburg
"Microsoft Office 2007, developed by",Microsoft,Computers_and_Electronics,0.6605841,Apple,Apple
Triumph TR7 is produced by,Triumph,Autos_and_Vehicles,0.5115522,Apple,Apple
Nissan R391 is a product of,Nissan,Autos_and_Vehicles,0.63166416,Samsung,Samsung
"Honda Silver Wing, developed by",Honda,Autos_and_Vehicles,0.51330966,Nissan,Nissan
Virgin Media Ireland is based in,Dublin,Internet_and_Telecom,0.5094044,Detroit,Dublin
"Islamic Republic of Afghanistan's capital city,",Kabul,People_and_Society,0.69819033,Delhi,Delhi
"Eiichiro Oda, who is a citizen of",Japan,Arts_and_Entertainment,0.1969319,France,France
Le Ventre de Paris was written in,French,Arts_and_Entertainment,0.38029265,Hebrew,Hebrew
"Triumph TR4, produced by",Triumph,Autos_and_Vehicles,0.5795269,Toyota,Toyota
Iwate Prefecture is located in the country of,Japan,Business_and_Industrial,0.38200676,Australia,Australia
Nissan GTP ZX-Turbo is created by,Nissan,Autos_and_Vehicles,0.49627632,Toyota,Toyota
"BMW N55, produced by",BMW,Autos_and_Vehicles,0.72968274,Chrysler,Chrysler
"Masashi Kishimoto, who is a citizen of",Japan,Arts_and_Entertainment,0.41713688,France,France
Prakasam district is located in the country of,India,Business_and_Industrial,0.2700214,Australia,Australia
"Renault R312, developed by",Renault,Autos_and_Vehicles,0.66889226,Volvo,Volvo
Hydro Ottawa is based in,Ottawa,Business_and_Industrial,0.6453975,Oslo,Ottawa
"Toyota AZ engine, produced by",Toyota,Autos_and_Vehicles,0.6499821,Honda,Honda
"Dodge Charger R/T (LX), produced by",Dodge,Autos_and_Vehicles,0.5163303,Chevrolet,Chevrolet
Yury Luzhkov was born in,Moscow,Arts_and_Entertainment,0.3136254,Belfast,Belfast
"Amartya Sen, who has a citizenship from",India,News,0.28394154,Canada,Canada
Windows Server 2003 is a product of,Microsoft,Computers_and_Electronics,0.5237603,Dodge,Dodge
Google Data Studio is owned by,Google,Computers_and_Electronics,0.28292626,Sky,Sky
Zeitschrift für Parlamentsfragen is written in,German,Law_and_Government,0.24568711,Italian,Italian
"BBC iPlayer, developed by",BBC,Arts_and_Entertainment,0.6342546,IBM,IBM
"The Legend of Zelda, developed by",Nintendo,Games,0.46535116,IBM,IBM
"Hisashi Inoue, who has a citizenship from",Japan,Law_and_Government,0.34797996,Brazil,Brazil
Last Days of Mussolini was created in the country of,Italy,News,0.37010127,Japan,Japan
"Roman Catholic Archdiocese of Caracas, which is located in",Venezuela,People_and_Society,0.3964846,Mali,Mali
Rajat Bedi was originally from,India,Arts_and_Entertainment,0.26376897,Hamburg,Hamburg
Information Center for Israeli Art artist ID is located in the country of,Israel,Arts_and_Entertainment,0.45254427,Canada,Canada
Microsoft Office 2010 is developed by,Microsoft,Computers_and_Electronics,0.5944531,Airbus,Airbus
"BMW M1, produced by",BMW,Autos_and_Vehicles,0.70383215,Honda,Honda
"BMW M67, created by",BMW,Autos_and_Vehicles,0.7093178,Triumph,Triumph
Ignazio Silone worked in the city of,Rome,Business_and_Industrial,0.2815417,Ottawa,Ottawa
Pythagoras works in the field of,mathematics,Science,0.4717439,manga,manga
"Nissan Rogue, developed by",Nissan,Autos_and_Vehicles,0.67383575,Suzuki,Suzuki
Volvo ÖV 4 is developed by,Volvo,Autos_and_Vehicles,0.58937573,Chevrolet,Chevrolet
Nissan 1400 is developed by,Nissan,Autos_and_Vehicles,0.5870805,Honda,Honda
"BMW N47, created by",BMW,Autos_and_Vehicles,0.754262,Sony,Sony
IBM Personal Computer is a product of,IBM,Computers_and_Electronics,0.76014936,Nissan,Nissan
Microsoft Silverlight was created by,Microsoft,Computers_and_Electronics,0.5079813,Adobe,Adobe
"Fiat 1900, developed by",Fiat,Autos_and_Vehicles,0.7575282,Honda,Honda
"Fiat 510, produced by",Fiat,Autos_and_Vehicles,0.7373725,Honda,Honda
Adam Smith works in the field of,economics,Sports,0.16632819,physics,physics
"IBM WebSphere Commerce, a product manufactured by",IBM,Computers_and_Electronics,0.69134414,Microsoft,Microsoft
Renault Clio is produced by,Renault,Autos_and_Vehicles,0.63758487,Porsche,Porsche
"Fiat 500 Moretti Coupé, developed by",Fiat,Autos_and_Vehicles,0.6045606,Mercury,Mercury
"Porsche 944, created by",Porsche,Autos_and_Vehicles,0.7478578,Nokia,Nokia
Renault 8 is developed by,Renault,Autos_and_Vehicles,0.65884966,Douglas,Douglas
Ha Seung-Jin is a native speaker of,Korean,Jobs_and_Education,0.44264096,French,French
"Grand Duchy of Finland's capital,",Helsinki,Law_and_Government,0.5510876,Dresden,Dresden
Apple Pro Mouse is developed by,Apple,Computers_and_Electronics,0.5080117,Douglas,Douglas
Skylake is developed by,Intel,Computers_and_Electronics,0.40895045,Suzuki,Suzuki
"Bentley Turbo R, developed by",Bentley,Autos_and_Vehicles,0.6123865,Suzuki,Suzuki
"Steve Jobs, who works for",Apple,Business_and_Industrial,0.36964822,ESPN,ESPN
Lata Mangeshkar has a citizenship from,India,Arts_and_Entertainment,0.23967342,Bulgaria,Bulgaria
"Chevrolet Constantia, produced by",Chevrolet,Autos_and_Vehicles,0.6489924,Honda,Honda
Apple iAd Producer is developed by,Apple,Computers_and_Electronics,0.5422826,Google,Google
The Bandit of Brazil was created in the country of,Brazil,Arts_and_Entertainment,0.42198986,Finland,Finland
Honda SFX is produced by,Honda,Autos_and_Vehicles,0.5408869,Renault,Renault
"Adobe Flash, developed by",Adobe,Computers_and_Electronics,0.7510847,Apple,Apple
"Apple Pro Mouse, created by",Apple,Computers_and_Electronics,0.5307315,Adobe,Adobe
Theresa May worked in the city of,London,News,0.30504107,Hamburg,Hamburg
Manitoba Hydro is based in,Winnipeg,Business_and_Industrial,0.4630651,Oslo,Winnipeg
"Masashi Kishimoto, who has a citizenship from",Japan,Arts_and_Entertainment,0.4342754,Argentina,Argentina
Honda Bali is produced by,Honda,Autos_and_Vehicles,0.51568395,Nintendo,Nintendo
"Grete von Zieritz, playing the",piano,Arts_and_Entertainment,0.3442806,trumpet,trumpet
"Visual Basic for Applications, a product created by",Microsoft,Computers_and_Electronics,0.3864056,Sega,Sega
"BMW M62, developed by",BMW,Autos_and_Vehicles,0.65452254,Dodge,Dodge
Nissan GTP ZX-Turbo is a product of,Nissan,Autos_and_Vehicles,0.5678427,Toyota,Toyota
Fiat 70 is developed by,Fiat,Autos_and_Vehicles,0.6585071,Renault,Renault
Moskovskij Komsomolets was written in,Russian,Arts_and_Entertainment,0.19893602,Finnish,Finnish
Ukrainian Catholic Eparchy of Toronto and Eastern Canada is based in,Toronto,People_and_Society,0.44942,Japan,Japan
Eiichiro Oda has a citizenship from,Japan,Arts_and_Entertainment,0.1840446,Spain,Spain
"Triumph 1500, produced by",Triumph,Autos_and_Vehicles,0.6243671,Airbus,Airbus
"Honda CB650SC, developed by",Honda,Autos_and_Vehicles,0.5863747,BMW,BMW
Toyota NZ engine is developed by,Toyota,Autos_and_Vehicles,0.529839,Dodge,Dodge
Volvo S70 is a product of,Volvo,Autos_and_Vehicles,0.6999539,Nokia,Nokia
Google Web Toolkit is created by,Google,Computers_and_Electronics,0.32559174,Nintendo,Nintendo
IBM Rational ClearQuest is a product of,IBM,Computers_and_Electronics,0.50466627,Nintendo,Nintendo
"Chevrolet AK-Series, developed by",Chevrolet,Autos_and_Vehicles,0.60170823,Fiat,Fiat
"Cadillac CTS, produced by",Cadillac,Autos_and_Vehicles,0.70166487,Chevrolet,Chevrolet
Triumph TR4 is produced by,Triumph,Autos_and_Vehicles,0.49950838,Dodge,Dodge
"Nintendo 3DS, created by",Nintendo,Computers_and_Electronics,0.6481315,Google,Google
"Roman Catholic Archdiocese of Winnipeg, whose headquarters are in",Winnipeg,People_and_Society,0.4683749,Helsinki,Helsinki
"Toyota Camry XV30, produced by",Toyota,Autos_and_Vehicles,0.604159,Porsche,Porsche
Omar Khayyám follows the religion of,Islam,Arts_and_Entertainment,0.40228385,Muslim,Muslim
Matsuo Bashō holds a citizenship from,Japan,Law_and_Government,0.23447615,France,France
"England's capital city,",London,People_and_Society,0.55324805,Helsinki,Helsinki
"Dutch Empire's capital city,",Amsterdam,People_and_Society,0.6467973,Baghdad,Baghdad
"Fiat 500 Moretti Coupé, produced by",Fiat,Autos_and_Vehicles,0.6122265,Chevrolet,Chevrolet
"BMW M30, developed by",BMW,Autos_and_Vehicles,0.71154034,Chevrolet,Chevrolet
"Toyota Corolla Spacio, produced by",Toyota,Autos_and_Vehicles,0.610071,BMW,BMW
Sega Saturn is created by,Sega,Computers_and_Electronics,0.6273514,Apple,Apple
"Fiat 2B, created by",Fiat,Autos_and_Vehicles,0.7812625,BMW,BMW
Porsche 550 is produced by,Porsche,Autos_and_Vehicles,0.63075626,Nokia,Nokia
"BMW N53, produced by",BMW,Autos_and_Vehicles,0.6806277,Honda,Honda
Nikolay Nikolayevich Zhukov worked in the city of,Moscow,News,0.39775425,London,London
"Airbus A300-600ST Beluga, produced by",Airbus,Autos_and_Vehicles,0.61249715,Triumph,Triumph
"iPad, created by",Apple,Computers_and_Electronics,0.5376593,Honda,Honda
"Nissan R88C, produced by",Nissan,Autos_and_Vehicles,0.6501658,Apple,Apple
National Archival Services of Norway is based in,Oslo,Law_and_Government,0.50838435,Athens,Athens
Fiat 520 is produced by,Fiat,Autos_and_Vehicles,0.65776706,Apple,Apple
"Fiat 2B, developed by",Fiat,Autos_and_Vehicles,0.7367118,Toyota,Toyota
The official language of Netherlands Antilles is,Dutch,Jobs_and_Education,0.55082095,Italian,Italian
"Cadillac CTS, developed by",Cadillac,Autos_and_Vehicles,0.67293084,Honda,Honda
Windows NT was created by,Microsoft,Computers_and_Electronics,0.49528012,Apple,Microsoft
Porsche 918 is a product of,Porsche,Autos_and_Vehicles,0.68341386,Honda,Honda
"Nokia C2-03, created by",Nokia,Computers_and_Electronics,0.71741295,Nissan,Nissan
BMW M30 is developed by,BMW,Autos_and_Vehicles,0.650479,Nissan,Nissan
Walibi Belgium was created in the country of,Belgium,Business_and_Industrial,0.52972233,Japan,Japan
Fiat 520 is produced by,Fiat,Autos_and_Vehicles,0.65776706,Renault,Renault
"Ferrari 250 GTO, developed by",Ferrari,Autos_and_Vehicles,0.6774943,Nokia,Nokia
"Microsoft Office 2007, a product manufactured by",Microsoft,Computers_and_Electronics,0.6538192,Intel,Intel
"Chrysler CA, developed by",Chrysler,Autos_and_Vehicles,0.696024,Toyota,Toyota
"Roman Catholic Diocese of Santa Rosa in California, in",California,People_and_Society,0.37782645,Cardiff,Cardiff
Koji Murofushi has a citizenship from,Japan,Law_and_Government,0.32055962,Spain,Spain
Dodge Charger R/T (LX) is developed by,Dodge,Autos_and_Vehicles,0.49767223,Nokia,Nokia
Amazon Appstore is developed by,Amazon,Internet_and_Telecom,0.56493944,Sega,Sega
"Windows 2.0, a product manufactured by",Microsoft,Computers_and_Electronics,0.5517993,Intel,Intel
"Masashi Kishimoto, who holds a citizenship from",Japan,Arts_and_Entertainment,0.42283237,Canada,Canada
Google Genomics is owned by,Google,Computers_and_Electronics,0.4478588,IBM,IBM
"Renault 18, created by",Renault,Autos_and_Vehicles,0.78235584,Toyota,Toyota
Toyota Camry (XV50) is developed by,Toyota,Autos_and_Vehicles,0.52628106,Nokia,Nokia
"Windows Media Center, created by",Microsoft,Computers_and_Electronics,0.47734803,Intel,Intel
Boeing Vertol CH-47 Chinook is produced by,Boeing,Autos_and_Vehicles,0.43427843,Ferrari,Ferrari
Adobe Fireworks was developed by,Adobe,Computers_and_Electronics,0.5890893,Google,Google
"Mahasweta Devi, who is a citizen of",India,People_and_Society,0.30859423,Poland,Poland
Fiat Brevetti is produced by,Fiat,Autos_and_Vehicles,0.6344279,Toyota,Toyota
Nissan Model 70 is developed by,Nissan,Autos_and_Vehicles,0.5528575,Suzuki,Suzuki
Toyota AE85 is developed by,Toyota,Autos_and_Vehicles,0.59342504,Chevrolet,Chevrolet
"iPhone, created by",Apple,Internet_and_Telecom,0.56139976,BMW,BMW
Bös Fulen belongs to the continent of,Europe,Law_and_Government,0.43015933,Asia,Asia
"Toyota Camry (XV50), produced by",Toyota,Autos_and_Vehicles,0.61999047,Chrysler,Chrysler
"Chevrolet Miray, developed by",Chevrolet,Autos_and_Vehicles,0.61278415,Fiat,Fiat
"Community of Madrid's capital city,",Madrid,Law_and_Government,0.69091576,Honolulu,Honolulu
The official language of Belize is,English,Jobs_and_Education,0.2569136,Finnish,Finnish
Krishna district is located in the country of,India,Jobs_and_Education,0.39264232,Norway,Norway
"Google Drive, a product developed by",Google,Internet_and_Telecom,0.52424246,Apple,Apple
"Ferrari 195 S, produced by",Ferrari,Autos_and_Vehicles,0.7216457,Nokia,Nokia
"Islamic Republic of Afghanistan's capital,",Kabul,Law_and_Government,0.68572444,Ankara,Ankara
Microsoft Surface is created by,Microsoft,Computers_and_Electronics,0.5651263,Google,Google
aikido is located in the country of,Japan,Sports,0.34275708,Argentina,Argentina
Cadillac Fleetwood is produced by,Cadillac,Autos_and_Vehicles,0.5823631,Renault,Renault
The original language of Star Wars: Episode III – Revenge of the Sith is,English,Arts_and_Entertainment,0.27330944,Hindi,Hindi
"Chrysler Town and Country (pre-1990), produced by",Chrysler,Autos_and_Vehicles,0.6770116,Toyota,Toyota
Theresa May worked in the city of,London,News,0.30504107,Berlin,Berlin
PlayStation Eye is produced by,Sony,Computers_and_Electronics,0.49075437,BMW,BMW
Tokyo Photographic Art Museum's headquarters are in,Tokyo,Arts_and_Entertainment,0.553726,Madrid,Madrid
MTV Russia is based in,Moscow,Arts_and_Entertainment,0.51523376,Cleveland,Cleveland
"Bentley Turbo R, produced by",Bentley,Autos_and_Vehicles,0.6408071,Honda,Honda
"Virtual Boy, created by",Nintendo,Games,0.3109395,IBM,IBM
Antarctic Treaty System is a part of the continent of,Antarctica,Law_and_Government,0.6124186,Asia,Asia
The Legend of Zelda was created in the country of,Japan,Games,0.3231033,Italy,Italy
"Chrome OS, created by",Google,Computers_and_Electronics,0.22353265,Intel,Intel
"Nokia 7270, produced by",Nokia,Computers_and_Electronics,0.71008086,Fiat,Fiat
Shigeru Miyamoto works for,Nintendo,Arts_and_Entertainment,0.19667731,BBC,BBC
"Porsche 550, developed by",Porsche,Autos_and_Vehicles,0.7075327,Nokia,Nokia
Sixtus IV worked in the city of,Rome,Business_and_Industrial,0.3254298,Stockholm,Stockholm
Google Authenticator is developed by,Google,Computers_and_Electronics,0.3895082,Toyota,Toyota
Boeing B-52 Stratofortress is produced by,Boeing,Business_and_Industrial,0.47660977,Toyota,Toyota
Zeitschrift fuer Psychosomatische Medizin und Psychotherapie was written in,German,Health,0.19309801,Italian,German
"Google Web Toolkit, developed by",Google,Computers_and_Electronics,0.51535344,Apple,Apple
"Microsoft Silverlight, a product created by",Microsoft,Computers_and_Electronics,0.5466099,Adobe,Adobe
Akira Kurosawa holds a citizenship from,Japan,Arts_and_Entertainment,0.30590552,Switzerland,Switzerland
Renault 4 is a product of,Renault,Autos_and_Vehicles,0.72881365,Toyota,Toyota
"Ferrari 599 GTB Fiorano, created by",Ferrari,Autos_and_Vehicles,0.6928813,Porsche,Porsche
"Toyota AR engine, produced by",Toyota,Autos_and_Vehicles,0.594796,Dodge,Dodge
"Sega Nomad, developed by",Sega,Computers_and_Electronics,0.7055237,Apple,Apple
The official language of South Africa is,English,Jobs_and_Education,0.32849985,Ukrainian,Ukrainian
"Fiat Croma, produced by",Fiat,Autos_and_Vehicles,0.66761136,BMW,BMW
The Legend of Zelda: A Link to the Past and Four Swords is developed by,Nintendo,Games,0.29914695,IBM,IBM
"The Legend of Zelda: A Link to the Past and Four Swords, a product developed by",Nintendo,Games,0.35695842,IBM,IBM
"Shigeru Miyamoto, who has a citizenship from",Japan,Arts_and_Entertainment,0.24974191,Belgium,Belgium
"Bentley 3 Litre, produced by",Bentley,Autos_and_Vehicles,0.6639054,Honda,Honda
"Wii, a product developed by",Nintendo,Computers_and_Electronics,0.6489688,Apple,Apple
Home Office is headquartered in,London,Business_and_Industrial,0.21299735,Boston,London
NBC Nightly News debuted on,NBC,News,0.5667046,CBS,CBS
"Moshe Dayan, who is a citizen of",Israel,Law_and_Government,0.37002927,Canada,Canada
IBM Rational AppScan is a product of,IBM,Computers_and_Electronics,0.4656415,Nintendo,Nintendo
Al Diwaniyah is located in the country of,Iraq,People_and_Society,0.15937714,Latvia,Latvia
René Descartes works in the field of,mathematics,News,0.2560184,physics,physics
Sarvepalli Radhakrishnan is a citizen of,India,People_and_Society,0.26492828,Senegal,Senegal
Khabarovsk is located in the country of,Russia,Business_and_Industrial,0.33665916,Spain,Spain
Tokyo Story was created in the country of,Japan,News,0.50677335,Italy,Italy
Qatar national football team is located in the country of,Qatar,Sports,0.6957367,Turkey,Turkey
"Google Drive, a product manufactured by",Google,Internet_and_Telecom,0.4917101,Microsoft,Microsoft
"Honda NSR500V, created by",Honda,Autos_and_Vehicles,0.6447692,BMW,BMW
Tochigi Prefecture is located in the country of,Japan,Business_and_Industrial,0.3340576,Germany,Germany
Toyota NZ engine is developed by,Toyota,Autos_and_Vehicles,0.529839,Nokia,Nokia
Fiat Panorama is produced by,Fiat,Autos_and_Vehicles,0.6087562,Ferrari,Ferrari
Nissan NP200 is produced by,Nissan,Autos_and_Vehicles,0.5527117,Porsche,Porsche
"Colony of Singapore's capital,",Singapore,Business_and_Industrial,0.66685474,Valencia,Valencia
Nokia 6610 is created by,Nokia,Computers_and_Electronics,0.6868259,Apple,Apple
"Volvo S80, produced by",Volvo,Autos_and_Vehicles,0.71941245,Nissan,Nissan
"Ferrari 400, created by",Ferrari,Autos_and_Vehicles,0.74512345,Toyota,Toyota
Apple Pro Mouse is developed by,Apple,Computers_and_Electronics,0.5080117,Microsoft,Microsoft
Renault Clio is developed by,Renault,Autos_and_Vehicles,0.6236737,Honda,Honda
Windows 2000 was created by,Microsoft,Computers_and_Electronics,0.45514095,Google,Microsoft
Toyota Camry XV30 is produced by,Toyota,Autos_and_Vehicles,0.54373574,Renault,Renault
"Renault 8, produced by",Renault,Autos_and_Vehicles,0.7819495,Nissan,Nissan
Chevrolet El Camino (3rd generation) is developed by,Chevrolet,Autos_and_Vehicles,0.5351574,Renault,Renault
Israr Ahmed has a citizenship from,Pakistan,Law_and_Government,0.3022061,Niger,Niger
"Nintendo 3DS, a product manufactured by",Nintendo,Computers_and_Electronics,0.6328737,Microsoft,Microsoft
Virtual Boy is produced by,Nintendo,Games,0.2491441,Apple,Apple
"Ferrari F40, produced by",Ferrari,Autos_and_Vehicles,0.7124805,Chevrolet,Chevrolet
Chevrolet El Camino (3rd generation) is produced by,Chevrolet,Autos_and_Vehicles,0.5440983,Fiat,Fiat
"Renault Twingo, produced by",Renault,Autos_and_Vehicles,0.6575967,Volvo,Volvo
ESPN3 is owned by,ESPN,Arts_and_Entertainment,0.5739256,BBC,T
Nissan R88C is developed by,Nissan,Autos_and_Vehicles,0.5460384,BMW,BMW
"Eiichiro Oda, who holds a citizenship from",Japan,Arts_and_Entertainment,0.2042549,Canada,Canada
Ministry of Health (Italy) is headquartered in,Rome,Health,0.29700243,Moscow,Moscow
Dodge Avenger is produced by,Dodge,Autos_and_Vehicles,0.56448764,Honda,Honda
"Nokia 6650 fold, developed by",Nokia,Computers_and_Electronics,0.6559299,Chevrolet,Chevrolet
"IBM Personal Computer, produced by",IBM,Computers_and_Electronics,0.79435766,Volvo,Volvo
"Porsche 356, created by",Porsche,Autos_and_Vehicles,0.72245455,Yamaha,Yamaha
Nokia 2330 Classic is developed by,Nokia,Computers_and_Electronics,0.65590245,Porsche,Porsche
"Nissan GTP ZX-Turbo, created by",Nissan,Autos_and_Vehicles,0.5686079,Fiat,Fiat
"BMW M30, produced by",BMW,Autos_and_Vehicles,0.737326,Toyota,Toyota
"Nokia 6650 fold, developed by",Nokia,Computers_and_Electronics,0.6559299,Dodge,Dodge
"Winchester's capital,",Winchester,Travel_and_Transportation,0.82985365,Prague,Prague
"Renault Clio, produced by",Renault,Autos_and_Vehicles,0.6988909,Fiat,Fiat
What sport does Charles Barkley play? They play,basketball,Sports,0.4671226,soccer,football
Home Office is based in,London,Business_and_Industrial,0.17794481,Calgary,London
Honda Mobilio Spike is produced by,Honda,Autos_and_Vehicles,0.4406224,BMW,BMW
"BMW M67, developed by",BMW,Autos_and_Vehicles,0.66990805,Ferrari,Ferrari
Xbox Game Studios is owned by,Microsoft,Computers_and_Electronics,0.3425788,Hamburg,Microsoft
"Porsche 804, produced by",Porsche,Autos_and_Vehicles,0.7351682,Dodge,Dodge
IBM Roadrunner is produced by,IBM,Computers_and_Electronics,0.61676824,Nissan,Nissan
"iPhone 7 Plus, created by",Apple,Computers_and_Electronics,0.4613685,Boeing,Boeing
Dallas County is based in,Dallas,Law_and_Government,0.6266287,London,London
Fiat Panorama is produced by,Fiat,Autos_and_Vehicles,0.6087562,Apple,Apple
IBM Personal Computer is produced by,IBM,Computers_and_Electronics,0.7421065,Boeing,Boeing
Windows Media Center is a product of,Microsoft,Computers_and_Electronics,0.48440236,Adobe,Adobe
"Adobe Illustrator, developed by",Adobe,Computers_and_Electronics,0.62354404,Microsoft,Microsoft
"Super Mario Bros., developed in",Japan,Games,0.31994155,France,France
Prince Rupert of the Rhine died in the city of,London,Law_and_Government,0.14173813,Cambridge,Cambridge
"Adobe Flash, developed by",Adobe,Computers_and_Electronics,0.7510847,Sony,Sony
National Historic Sites of Canada ID is located in the country of,Canada,Travel_and_Transportation,0.3900982,Philippines,Philippines
"Sega Mega Drive, produced by",Sega,Computers_and_Electronics,0.6994848,Fiat,Fiat
Leonard Cohen plays the,guitar,Arts_and_Entertainment,-0.005435802,piano,piano
Swedish Security Service is headquartered in,Stockholm,Law_and_Government,0.5375023,Edinburgh,Edinburgh
"BMW N52, produced by",BMW,Autos_and_Vehicles,0.72988576,Sony,Sony
The Legend of Zelda was developed in,Japan,Games,0.1617088,Germany,Germany
Renault R312 is developed by,Renault,Autos_and_Vehicles,0.60382307,Honda,Honda
Honda CB1100R is created by,Honda,Autos_and_Vehicles,0.56864756,Intel,Intel
"Windows 2000, a product created by",Microsoft,Computers_and_Electronics,0.5365784,Sega,Sega
Virgin Media Ireland is headquartered in,Dublin,Internet_and_Telecom,0.5262542,Detroit,Dublin
